"Town","FIPS","Year","Admission Type","Measure Type","Variable","Value"
"Chester","0900714300","2018","Mental Health","Percent","DMHAS Admissions",46.03
"Chester","0900714300","2018","Mental Health","Rate (per 10,000)","DMHAS Admissions",67.95
"Chester","0900714300","2018","Mental Health","Rate (per 10,000)","Margins of Error",0.43
"Chester","0900714300","2018","Mental Health and Substance Abuse","Number","DMHAS Admissions",-9999
"Chester","0900714300","2018","Mental Health and Substance Abuse","Percent","DMHAS Admissions",-9999
"Chester","0900714300","2018","Mental Health and Substance Abuse","Rate (per 10,000)","DMHAS Admissions",-9999
"Chester","0900714300","2018","Mental Health and Substance Abuse","Rate (per 10,000)","Margins of Error",-9999
"Chester","0900714300","2018","Substance Abuse","Number","DMHAS Admissions",30
"Chester","0900714300","2018","Substance Abuse","Percent","DMHAS Admissions",47.62
"Chester","0900714300","2018","Substance Abuse","Rate (per 10,000)","DMHAS Admissions",70.29
"Chester","0900714300","2018","Substance Abuse","Rate (per 10,000)","Margins of Error",0.44
"Chester","0900714300","2018","Total","Number","DMHAS Admissions",63
"Chester","0900714300","2018","Total","Rate (per 10,000)","DMHAS Admissions",147.61
"Chester","0900714300","2018","Total","Rate (per 10,000)","Margins of Error",0.93
"Chester","0900714300","2019","Mental Health","Number","DMHAS Admissions",16
"Chester","0900714300","2019","Mental Health","Percent","DMHAS Admissions",50
"Chester","0900714300","2019","Mental Health","Rate (per 10,000)","DMHAS Admissions",37.79
"Chester","0900714300","2019","Mental Health","Rate (per 10,000)","Margins of Error",0.27
"Chester","0900714300","2019","Mental Health and Substance Abuse","Number","DMHAS Admissions",-9999
"Chester","0900714300","2019","Mental Health and Substance Abuse","Percent","DMHAS Admissions",-9999
"Chester","0900714300","2019","Mental Health and Substance Abuse","Rate (per 10,000)","DMHAS Admissions",-9999
"Chester","0900714300","2019","Mental Health and Substance Abuse","Rate (per 10,000)","Margins of Error",-9999
"Chester","0900714300","2019","Substance Abuse","Number","DMHAS Admissions",-9999
"Chester","0900714300","2019","Substance Abuse","Percent","DMHAS Admissions",-9999
"Chester","0900714300","2019","Substance Abuse","Rate (per 10,000)","DMHAS Admissions",-9999
"Chester","0900714300","2019","Substance Abuse","Rate (per 10,000)","Margins of Error",-9999
"Chester","0900714300","2019","Total","Number","DMHAS Admissions",32
"Chester","0900714300","2019","Total","Rate (per 10,000)","DMHAS Admissions",75.58
"Chester","0900714300","2019","Total","Rate (per 10,000)","Margins of Error",0.54
"Chester","0900714300","2020","Mental Health","Number","DMHAS Admissions",16
"Chester","0900714300","2020","Mental Health","Percent","DMHAS Admissions",50
"Chester","0900714300","2020","Mental Health","Rate (per 10,000)","DMHAS Admissions",37.92
"Chester","0900714300","2020","Mental Health","Rate (per 10,000)","Margins of Error",0.22
"Chester","0900714300","2020","Mental Health and Substance Abuse","Number","DMHAS Admissions",-9999
"Chester","0900714300","2020","Mental Health and Substance Abuse","Percent","DMHAS Admissions",-9999
"Chester","0900714300","2020","Mental Health and Substance Abuse","Rate (per 10,000)","DMHAS Admissions",-9999
"Chester","0900714300","2020","Mental Health and Substance Abuse","Rate (per 10,000)","Margins of Error",-9999
"Chester","0900714300","2020","Substance Abuse","Number","DMHAS Admissions",-9999
"Chester","0900714300","2020","Substance Abuse","Percent","DMHAS Admissions",-9999
"Chester","0900714300","2020","Substance Abuse","Rate (per 10,000)","DMHAS Admissions",-9999
"Chester","0900714300","2020","Substance Abuse","Rate (per 10,000)","Margins of Error",-9999
"Chester","0900714300","2020","Total","Number","DMHAS Admissions",32
"Chester","0900714300","2020","Total","Rate (per 10,000)","DMHAS Admissions",75.85
"Chester","0900714300","2020","Total","Rate (per 10,000)","Margins of Error",0.45
"Clinton","0900715350","2010","Mental Health","Number","DMHAS Admissions",67
"Clinton","0900715350","2010","Mental Health","Percent","DMHAS Admissions",22.71
"Clinton","0900715350","2010","Mental Health","Rate (per 10,000)","DMHAS Admissions",50.32
"Clinton","0900715350","2010","Mental Health","Rate (per 10,000)","Margins of Error",0.08
"Clinton","0900715350","2010","Mental Health and Substance Abuse","Number","DMHAS Admissions",16
"Clinton","0900715350","2010","Mental Health and Substance Abuse","Percent","DMHAS Admissions",5.42
"Clinton","0900715350","2010","Mental Health and Substance Abuse","Rate (per 10,000)","DMHAS Admissions",12.02
"Clinton","0900715350","2010","Mental Health and Substance Abuse","Rate (per 10,000)","Margins of Error",0.02
"Clinton","0900715350","2010","Substance Abuse","Number","DMHAS Admissions",212
"Clinton","0900715350","2010","Substance Abuse","Percent","DMHAS Admissions",71.86
"Clinton","0900715350","2010","Substance Abuse","Rate (per 10,000)","DMHAS Admissions",159.21
"Clinton","0900715350","2010","Substance Abuse","Rate (per 10,000)","Margins of Error",0.26
"Clinton","0900715350","2010","Total","Number","DMHAS Admissions",295
"Clinton","0900715350","2010","Total","Rate (per 10,000)","DMHAS Admissions",221.54
"Clinton","0900715350","2010","Total","Rate (per 10,000)","Margins of Error",0.37
"Clinton","0900715350","2011","Mental Health","Number","DMHAS Admissions",68
"Clinton","0900715350","2011","Mental Health","Percent","DMHAS Admissions",22.15
"Clinton","0900715350","2011","Mental Health","Rate (per 10,000)","DMHAS Admissions",51.16
"Clinton","0900715350","2011","Mental Health","Rate (per 10,000)","Margins of Error",0.14
"Clinton","0900715350","2011","Mental Health and Substance Abuse","Number","DMHAS Admissions",-9999
"Clinton","0900715350","2011","Mental Health and Substance Abuse","Percent","DMHAS Admissions",-9999
"Clinton","0900715350","2011","Mental Health and Substance Abuse","Rate (per 10,000)","DMHAS Admissions",-9999
"Clinton","0900715350","2011","Mental Health and Substance Abuse","Rate (per 10,000)","Margins of Error",-9999
"Clinton","0900715350","2011","Substance Abuse","Number","DMHAS Admissions",227
"Clinton","0900715350","2011","Substance Abuse","Percent","DMHAS Admissions",73.94
"Clinton","0900715350","2011","Substance Abuse","Rate (per 10,000)","DMHAS Admissions",170.79
"Clinton","0900715350","2011","Substance Abuse","Rate (per 10,000)","Margins of Error",0.48
"Clinton","0900715350","2011","Total","Number","DMHAS Admissions",307
"Clinton","0900715350","2011","Total","Rate (per 10,000)","DMHAS Admissions",230.98
"Clinton","0900715350","2011","Total","Rate (per 10,000)","Margins of Error",0.64
"Clinton","0900715350","2012","Mental Health","Number","DMHAS Admissions",73
"Clinton","0900715350","2012","Mental Health","Percent","DMHAS Admissions",23.25
"Clinton","0900715350","2012","Mental Health","Rate (per 10,000)","DMHAS Admissions",55.06
"Clinton","0900715350","2012","Mental Health","Rate (per 10,000)","Margins of Error",0.14
"Clinton","0900715350","2012","Mental Health and Substance Abuse","Number","DMHAS Admissions",-9999
"Clinton","0900715350","2012","Mental Health and Substance Abuse","Percent","DMHAS Admissions",-9999
"Clinton","0900715350","2012","Mental Health and Substance Abuse","Rate (per 10,000)","DMHAS Admissions",-9999
"Clinton","0900715350","2012","Mental Health and Substance Abuse","Rate (per 10,000)","Margins of Error",-9999
"Clinton","0900715350","2012","Substance Abuse","Number","DMHAS Admissions",228
"Clinton","0900715350","2012","Substance Abuse","Percent","DMHAS Admissions",72.61
"Clinton","0900715350","2012","Substance Abuse","Rate (per 10,000)","DMHAS Admissions",171.96
"Clinton","0900715350","2012","Substance Abuse","Rate (per 10,000)","Margins of Error",0.43
"Clinton","0900715350","2012","Total","Number","DMHAS Admissions",314
"Clinton","0900715350","2012","Total","Rate (per 10,000)","DMHAS Admissions",236.82
"Clinton","0900715350","2012","Total","Rate (per 10,000)","Margins of Error",0.59
"Clinton","0900715350","2013","Mental Health","Number","DMHAS Admissions",80
"Clinton","0900715350","2013","Mental Health","Percent","DMHAS Admissions",27.78
"Clinton","0900715350","2013","Mental Health","Rate (per 10,000)","DMHAS Admissions",60.43
"Clinton","0900715350","2013","Mental Health","Rate (per 10,000)","Margins of Error",0.14
"Clinton","0900715350","2013","Mental Health and Substance Abuse","Number","DMHAS Admissions",-9999
"Clinton","0900715350","2013","Mental Health and Substance Abuse","Percent","DMHAS Admissions",-9999
"Clinton","0900715350","2013","Mental Health and Substance Abuse","Rate (per 10,000)","DMHAS Admissions",-9999
"Clinton","0900715350","2013","Mental Health and Substance Abuse","Rate (per 10,000)","Margins of Error",-9999
"Clinton","0900715350","2013","Substance Abuse","Number","DMHAS Admissions",196
"Clinton","0900715350","2013","Substance Abuse","Percent","DMHAS Admissions",68.06
"Clinton","0900715350","2013","Substance Abuse","Rate (per 10,000)","DMHAS Admissions",148.05
"Clinton","0900715350","2013","Substance Abuse","Rate (per 10,000)","Margins of Error",0.35
"Clinton","0900715350","2013","Total","Number","DMHAS Admissions",288
"Clinton","0900715350","2013","Total","Rate (per 10,000)","DMHAS Admissions",217.54
"Clinton","0900715350","2013","Total","Rate (per 10,000)","Margins of Error",0.51
"Clinton","0900715350","2014","Mental Health","Number","DMHAS Admissions",80
"Clinton","0900715350","2014","Mental Health","Percent","DMHAS Admissions",30.77
"Clinton","0900715350","2014","Mental Health","Rate (per 10,000)","DMHAS Admissions",60.66
"Clinton","0900715350","2014","Mental Health","Rate (per 10,000)","Margins of Error",0.2
"Clinton","0900715350","2014","Mental Health and Substance Abuse","Number","DMHAS Admissions",-9999
"Clinton","0900715350","2014","Mental Health and Substance Abuse","Percent","DMHAS Admissions",-9999
"Clinton","0900715350","2014","Mental Health and Substance Abuse","Rate (per 10,000)","DMHAS Admissions",-9999
"Clinton","0900715350","2014","Mental Health and Substance Abuse","Rate (per 10,000)","Margins of Error",-9999
"Clinton","0900715350","2014","Substance Abuse","Number","DMHAS Admissions",167
"Clinton","0900715350","2014","Substance Abuse","Percent","DMHAS Admissions",64.23
"Clinton","0900715350","2014","Substance Abuse","Rate (per 10,000)","DMHAS Admissions",126.63
"Clinton","0900715350","2014","Substance Abuse","Rate (per 10,000)","Margins of Error",0.42
"Clinton","0900715350","2014","Total","Number","DMHAS Admissions",260
"Clinton","0900715350","2014","Total","Rate (per 10,000)","DMHAS Admissions",197.15
"Clinton","0900715350","2014","Total","Rate (per 10,000)","Margins of Error",0.66
"Clinton","0900715350","2015","Mental Health","Number","DMHAS Admissions",89
"Clinton","0900715350","2015","Mental Health","Percent","DMHAS Admissions",36.78
"Clinton","0900715350","2015","Mental Health","Rate (per 10,000)","DMHAS Admissions",67.59
"Clinton","0900715350","2015","Mental Health","Rate (per 10,000)","Margins of Error",0.22
"Clinton","0900715350","2015","Mental Health and Substance Abuse","Number","DMHAS Admissions",-9999
"Clinton","0900715350","2015","Mental Health and Substance Abuse","Percent","DMHAS Admissions",-9999
"Clinton","0900715350","2015","Mental Health and Substance Abuse","Rate (per 10,000)","DMHAS Admissions",-9999
"Clinton","0900715350","2015","Mental Health and Substance Abuse","Rate (per 10,000)","Margins of Error",-9999
"Clinton","0900715350","2015","Substance Abuse","Number","DMHAS Admissions",144
"Clinton","0900715350","2015","Substance Abuse","Percent","DMHAS Admissions",59.5
"Clinton","0900715350","2015","Substance Abuse","Rate (per 10,000)","DMHAS Admissions",109.36
"Clinton","0900715350","2015","Substance Abuse","Rate (per 10,000)","Margins of Error",0.35
"Clinton","0900715350","2015","Total","Number","DMHAS Admissions",242
"Clinton","0900715350","2015","Total","Rate (per 10,000)","DMHAS Admissions",183.79
"Clinton","0900715350","2015","Total","Rate (per 10,000)","Margins of Error",0.59
"Clinton","0900715350","2016","Mental Health","Number","DMHAS Admissions",87
"Clinton","0900715350","2016","Mental Health","Percent","DMHAS Admissions",28.62
"Clinton","0900715350","2016","Mental Health","Rate (per 10,000)","DMHAS Admissions",66.55
"Clinton","0900715350","2016","Mental Health","Rate (per 10,000)","Margins of Error",0.3
"Clinton","0900715350","2016","Mental Health and Substance Abuse","Number","DMHAS Admissions",15
"Clinton","0900715350","2016","Mental Health and Substance Abuse","Percent","DMHAS Admissions",4.93
"Clinton","0900715350","2016","Mental Health and Substance Abuse","Rate (per 10,000)","DMHAS Admissions",11.47
"Clinton","0900715350","2016","Mental Health and Substance Abuse","Rate (per 10,000)","Margins of Error",0.05
"Clinton","0900715350","2016","Substance Abuse","Number","DMHAS Admissions",202
"Clinton","0900715350","2016","Substance Abuse","Percent","DMHAS Admissions",66.45
"Clinton","0900715350","2016","Substance Abuse","Rate (per 10,000)","DMHAS Admissions",154.53
"Clinton","0900715350","2016","Substance Abuse","Rate (per 10,000)","Margins of Error",0.69
"Clinton","0900715350","2016","Total","Number","DMHAS Admissions",304
"Clinton","0900715350","2016","Total","Rate (per 10,000)","DMHAS Admissions",232.56
"Clinton","0900715350","2016","Total","Rate (per 10,000)","Margins of Error",1.03
"Clinton","0900715350","2017","Mental Health","Number","DMHAS Admissions",84
"Clinton","0900715350","2017","Mental Health","Percent","DMHAS Admissions",28.77
"Clinton","0900715350","2017","Mental Health","Rate (per 10,000)","DMHAS Admissions",64.41
"Clinton","0900715350","2017","Mental Health","Rate (per 10,000)","Margins of Error",0.13
"Clinton","0900715350","2017","Mental Health and Substance Abuse","Number","DMHAS Admissions",16
"Clinton","0900715350","2017","Mental Health and Substance Abuse","Percent","DMHAS Admissions",5.48
"Clinton","0900715350","2017","Mental Health and Substance Abuse","Rate (per 10,000)","DMHAS Admissions",12.27
"Clinton","0900715350","2017","Mental Health and Substance Abuse","Rate (per 10,000)","Margins of Error",0.03
"Clinton","0900715350","2017","Substance Abuse","Number","DMHAS Admissions",192
"Clinton","0900715350","2017","Substance Abuse","Percent","DMHAS Admissions",65.75
"Clinton","0900715350","2017","Substance Abuse","Rate (per 10,000)","DMHAS Admissions",147.23
"Clinton","0900715350","2017","Substance Abuse","Rate (per 10,000)","Margins of Error",0.3
"Clinton","0900715350","2017","Total","Number","DMHAS Admissions",292
"Clinton","0900715350","2017","Total","Rate (per 10,000)","DMHAS Admissions",223.91
"Clinton","0900715350","2017","Total","Rate (per 10,000)","Margins of Error",0.46
"Clinton","0900715350","2018","Mental Health","Number","DMHAS Admissions",74
"Clinton","0900715350","2018","Mental Health","Percent","DMHAS Admissions",26.43
"Clinton","0900715350","2018","Mental Health","Rate (per 10,000)","DMHAS Admissions",57.03
"Clinton","0900715350","2018","Mental Health","Rate (per 10,000)","Margins of Error",0.14
"Clinton","0900715350","2018","Mental Health and Substance Abuse","Number","DMHAS Admissions",20
"Clinton","0900715350","2018","Mental Health and Substance Abuse","Percent","DMHAS Admissions",7.14
"Clinton","0900715350","2018","Mental Health and Substance Abuse","Rate (per 10,000)","DMHAS Admissions",15.41
"Clinton","0900715350","2018","Mental Health and Substance Abuse","Rate (per 10,000)","Margins of Error",0.04
"Clinton","0900715350","2018","Substance Abuse","Number","DMHAS Admissions",186
"Clinton","0900715350","2018","Substance Abuse","Percent","DMHAS Admissions",66.43
"Clinton","0900715350","2018","Substance Abuse","Rate (per 10,000)","DMHAS Admissions",143.34
"Clinton","0900715350","2018","Substance Abuse","Rate (per 10,000)","Margins of Error",0.35
"Clinton","0900715350","2018","Total","Number","DMHAS Admissions",280
"Clinton","0900715350","2018","Total","Rate (per 10,000)","DMHAS Admissions",215.78
"Clinton","0900715350","2018","Total","Rate (per 10,000)","Margins of Error",0.53
"Clinton","0900715350","2019","Mental Health","Number","DMHAS Admissions",43
"Clinton","0900715350","2019","Mental Health","Percent","DMHAS Admissions",41.35
"Clinton","0900715350","2019","Mental Health","Rate (per 10,000)","DMHAS Admissions",33.22
"Clinton","0900715350","2019","Mental Health","Rate (per 10,000)","Margins of Error",0.07
"Clinton","0900715350","2019","Mental Health and Substance Abuse","Number","DMHAS Admissions",-9999
"Clinton","0900715350","2019","Mental Health and Substance Abuse","Percent","DMHAS Admissions",-9999
"Clinton","0900715350","2019","Mental Health and Substance Abuse","Rate (per 10,000)","DMHAS Admissions",-9999
"Clinton","0900715350","2019","Mental Health and Substance Abuse","Rate (per 10,000)","Margins of Error",-9999
"Clinton","0900715350","2019","Substance Abuse","Number","DMHAS Admissions",56
"Clinton","0900715350","2019","Substance Abuse","Percent","DMHAS Admissions",53.85
"Clinton","0900715350","2019","Substance Abuse","Rate (per 10,000)","DMHAS Admissions",43.26
"Clinton","0900715350","2019","Substance Abuse","Rate (per 10,000)","Margins of Error",0.09
"Clinton","0900715350","2019","Total","Number","DMHAS Admissions",104
"Clinton","0900715350","2019","Total","Rate (per 10,000)","DMHAS Admissions",80.35
"Clinton","0900715350","2019","Total","Rate (per 10,000)","Margins of Error",0.17
"Clinton","0900715350","2020","Mental Health","Number","DMHAS Admissions",43
"Clinton","0900715350","2020","Mental Health","Percent","DMHAS Admissions",41.35
"Clinton","0900715350","2020","Mental Health","Rate (per 10,000)","DMHAS Admissions",33.27
"Clinton","0900715350","2020","Mental Health","Rate (per 10,000)","Margins of Error",0.04
"Clinton","0900715350","2020","Mental Health and Substance Abuse","Number","DMHAS Admissions",-9999
"Clinton","0900715350","2020","Mental Health and Substance Abuse","Percent","DMHAS Admissions",-9999
"Clinton","0900715350","2020","Mental Health and Substance Abuse","Rate (per 10,000)","DMHAS Admissions",-9999
"Clinton","0900715350","2020","Mental Health and Substance Abuse","Rate (per 10,000)","Margins of Error",-9999
"Clinton","0900715350","2020","Substance Abuse","Number","DMHAS Admissions",56
"Clinton","0900715350","2020","Substance Abuse","Percent","DMHAS Admissions",53.85
"Clinton","0900715350","2020","Substance Abuse","Rate (per 10,000)","DMHAS Admissions",43.32
"Clinton","0900715350","2020","Substance Abuse","Rate (per 10,000)","Margins of Error",0.06
"Clinton","0900715350","2020","Total","Number","DMHAS Admissions",104
"Clinton","0900715350","2020","Total","Rate (per 10,000)","DMHAS Admissions",80.46
"Clinton","0900715350","2020","Total","Rate (per 10,000)","Margins of Error",0.11
"Colchester","0901115910","2010","Mental Health","Number","DMHAS Admissions",89
"Colchester","0901115910","2010","Mental Health","Percent","DMHAS Admissions",27.13
"Colchester","0901115910","2010","Mental Health","Rate (per 10,000)","DMHAS Admissions",56.15
"Colchester","0901115910","2010","Mental Health","Rate (per 10,000)","Margins of Error",0.07
"Colchester","0901115910","2010","Mental Health and Substance Abuse","Number","DMHAS Admissions",-9999
"Colchester","0901115910","2010","Mental Health and Substance Abuse","Percent","DMHAS Admissions",-9999
"Colchester","0901115910","2010","Mental Health and Substance Abuse","Rate (per 10,000)","DMHAS Admissions",-9999
"Colchester","0901115910","2010","Mental Health and Substance Abuse","Rate (per 10,000)","Margins of Error",-9999
"Colchester","0901115910","2010","Substance Abuse","Number","DMHAS Admissions",225
"Colchester","0901115910","2010","Substance Abuse","Percent","DMHAS Admissions",68.6
"Colchester","0901115910","2010","Substance Abuse","Rate (per 10,000)","DMHAS Admissions",141.96
"Colchester","0901115910","2010","Substance Abuse","Rate (per 10,000)","Margins of Error",0.18
"Colchester","0901115910","2010","Total","Number","DMHAS Admissions",328
"Colchester","0901115910","2010","Total","Rate (per 10,000)","DMHAS Admissions",206.95
"Colchester","0901115910","2010","Total","Rate (per 10,000)","Margins of Error",0.26
"Colchester","0901115910","2011","Mental Health","Number","DMHAS Admissions",75
"Colchester","0901115910","2011","Mental Health","Percent","DMHAS Admissions",24.27
"Colchester","0901115910","2011","Mental Health","Rate (per 10,000)","DMHAS Admissions",47.08
"Colchester","0901115910","2011","Mental Health","Rate (per 10,000)","Margins of Error",0.06
"Colchester","0901115910","2011","Mental Health and Substance Abuse","Number","DMHAS Admissions",18
"Colchester","0901115910","2011","Mental Health and Substance Abuse","Percent","DMHAS Admissions",5.83
"Colchester","0901115910","2011","Mental Health and Substance Abuse","Rate (per 10,000)","DMHAS Admissions",11.3
"Colchester","0901115910","2011","Mental Health and Substance Abuse","Rate (per 10,000)","Margins of Error",0.01
"Colchester","0901115910","2011","Substance Abuse","Number","DMHAS Admissions",216
"Colchester","0901115910","2011","Substance Abuse","Percent","DMHAS Admissions",69.9
"Colchester","0901115910","2011","Substance Abuse","Rate (per 10,000)","DMHAS Admissions",135.6
"Colchester","0901115910","2011","Substance Abuse","Rate (per 10,000)","Margins of Error",0.17
"Colchester","0901115910","2011","Total","Number","DMHAS Admissions",309
"Colchester","0901115910","2011","Total","Rate (per 10,000)","DMHAS Admissions",193.99
"Colchester","0901115910","2011","Total","Rate (per 10,000)","Margins of Error",0.24
"Colchester","0901115910","2012","Mental Health","Number","DMHAS Admissions",88
"Colchester","0901115910","2012","Mental Health","Percent","DMHAS Admissions",27.33
"Colchester","0901115910","2012","Mental Health","Rate (per 10,000)","DMHAS Admissions",54.85
"Colchester","0901115910","2012","Mental Health","Rate (per 10,000)","Margins of Error",0.07
"Colchester","0901115910","2012","Mental Health and Substance Abuse","Number","DMHAS Admissions",25
"Colchester","0901115910","2012","Mental Health and Substance Abuse","Percent","DMHAS Admissions",7.76
"Colchester","0901115910","2012","Mental Health and Substance Abuse","Rate (per 10,000)","DMHAS Admissions",15.58
"Colchester","0901115910","2012","Mental Health and Substance Abuse","Rate (per 10,000)","Margins of Error",0.02
"Colchester","0901115910","2012","Substance Abuse","Number","DMHAS Admissions",209
"Colchester","0901115910","2012","Substance Abuse","Percent","DMHAS Admissions",64.91
"Colchester","0901115910","2012","Substance Abuse","Rate (per 10,000)","DMHAS Admissions",130.27
"Colchester","0901115910","2012","Substance Abuse","Rate (per 10,000)","Margins of Error",0.16
"Colchester","0901115910","2012","Total","Number","DMHAS Admissions",322
"Colchester","0901115910","2012","Total","Rate (per 10,000)","DMHAS Admissions",200.7
"Colchester","0901115910","2012","Total","Rate (per 10,000)","Margins of Error",0.25
"Colchester","0901115910","2013","Mental Health","Number","DMHAS Admissions",93
"Colchester","0901115910","2013","Mental Health","Percent","DMHAS Admissions",29.81
"Colchester","0901115910","2013","Mental Health","Rate (per 10,000)","DMHAS Admissions",57.7
"Colchester","0901115910","2013","Mental Health","Rate (per 10,000)","Margins of Error",0.08
"Colchester","0901115910","2013","Mental Health and Substance Abuse","Number","DMHAS Admissions",19
"Colchester","0901115910","2013","Mental Health and Substance Abuse","Percent","DMHAS Admissions",6.09
"Colchester","0901115910","2013","Mental Health and Substance Abuse","Rate (per 10,000)","DMHAS Admissions",11.79
"Colchester","0901115910","2013","Mental Health and Substance Abuse","Rate (per 10,000)","Margins of Error",0.02
"Colchester","0901115910","2013","Substance Abuse","Number","DMHAS Admissions",200
"Colchester","0901115910","2013","Substance Abuse","Percent","DMHAS Admissions",64.1
"Colchester","0901115910","2013","Substance Abuse","Rate (per 10,000)","DMHAS Admissions",124.08
"Colchester","0901115910","2013","Substance Abuse","Rate (per 10,000)","Margins of Error",0.16
"Colchester","0901115910","2013","Total","Number","DMHAS Admissions",312
"Colchester","0901115910","2013","Total","Rate (per 10,000)","DMHAS Admissions",193.56
"Colchester","0901115910","2013","Total","Rate (per 10,000)","Margins of Error",0.25
"Colchester","0901115910","2014","Mental Health","Number","DMHAS Admissions",96
"Colchester","0901115910","2014","Mental Health","Percent","DMHAS Admissions",30.57
"Colchester","0901115910","2014","Mental Health","Rate (per 10,000)","DMHAS Admissions",59.47
"Colchester","0901115910","2014","Mental Health","Rate (per 10,000)","Margins of Error",0.09
"Colchester","0901115910","2014","Mental Health and Substance Abuse","Number","DMHAS Admissions",-9999
"Colchester","0901115910","2014","Mental Health and Substance Abuse","Percent","DMHAS Admissions",-9999
"Colchester","0901115910","2014","Mental Health and Substance Abuse","Rate (per 10,000)","DMHAS Admissions",-9999
"Colchester","0901115910","2014","Mental Health and Substance Abuse","Rate (per 10,000)","Margins of Error",-9999
"Colchester","0901115910","2014","Substance Abuse","Number","DMHAS Admissions",204
"Colchester","0901115910","2014","Substance Abuse","Percent","DMHAS Admissions",64.97
"Colchester","0901115910","2014","Substance Abuse","Rate (per 10,000)","DMHAS Admissions",126.37
"Colchester","0901115910","2014","Substance Abuse","Rate (per 10,000)","Margins of Error",0.19
"Colchester","0901115910","2014","Total","Number","DMHAS Admissions",314
"Colchester","0901115910","2014","Total","Rate (per 10,000)","DMHAS Admissions",194.51
"Colchester","0901115910","2014","Total","Rate (per 10,000)","Margins of Error",0.29
"Colchester","0901115910","2015","Mental Health","Number","DMHAS Admissions",89
"Colchester","0901115910","2015","Mental Health","Percent","DMHAS Admissions",29.08
"Colchester","0901115910","2015","Mental Health","Rate (per 10,000)","DMHAS Admissions",55.14
"Colchester","0901115910","2015","Mental Health","Rate (per 10,000)","Margins of Error",0.09
"Colchester","0901115910","2015","Mental Health and Substance Abuse","Number","DMHAS Admissions",15
"Colchester","0901115910","2015","Mental Health and Substance Abuse","Percent","DMHAS Admissions",4.9
"Colchester","0901115910","2015","Mental Health and Substance Abuse","Rate (per 10,000)","DMHAS Admissions",9.29
"Colchester","0901115910","2015","Mental Health and Substance Abuse","Rate (per 10,000)","Margins of Error",0.01
"Colchester","0901115910","2015","Substance Abuse","Number","DMHAS Admissions",202
"Colchester","0901115910","2015","Substance Abuse","Percent","DMHAS Admissions",66.01
"Colchester","0901115910","2015","Substance Abuse","Rate (per 10,000)","DMHAS Admissions",125.14
"Colchester","0901115910","2015","Substance Abuse","Rate (per 10,000)","Margins of Error",0.19
"Colchester","0901115910","2015","Total","Number","DMHAS Admissions",306
"Colchester","0901115910","2015","Total","Rate (per 10,000)","DMHAS Admissions",189.57
"Colchester","0901115910","2015","Total","Rate (per 10,000)","Margins of Error",0.29
"Colchester","0901115910","2016","Mental Health","Number","DMHAS Admissions",97
"Colchester","0901115910","2016","Mental Health","Percent","DMHAS Admissions",30.79
"Colchester","0901115910","2016","Mental Health","Rate (per 10,000)","DMHAS Admissions",60.2
"Colchester","0901115910","2016","Mental Health","Rate (per 10,000)","Margins of Error",0.07
"Colchester","0901115910","2016","Mental Health and Substance Abuse","Number","DMHAS Admissions",22
"Colchester","0901115910","2016","Mental Health and Substance Abuse","Percent","DMHAS Admissions",6.98
"Colchester","0901115910","2016","Mental Health and Substance Abuse","Rate (per 10,000)","DMHAS Admissions",13.65
"Colchester","0901115910","2016","Mental Health and Substance Abuse","Rate (per 10,000)","Margins of Error",0.02
"Colchester","0901115910","2016","Substance Abuse","Number","DMHAS Admissions",196
"Colchester","0901115910","2016","Substance Abuse","Percent","DMHAS Admissions",62.22
"Colchester","0901115910","2016","Substance Abuse","Rate (per 10,000)","DMHAS Admissions",121.65
"Colchester","0901115910","2016","Substance Abuse","Rate (per 10,000)","Margins of Error",0.14
"Colchester","0901115910","2016","Total","Number","DMHAS Admissions",315
"Colchester","0901115910","2016","Total","Rate (per 10,000)","DMHAS Admissions",195.51
"Colchester","0901115910","2016","Total","Rate (per 10,000)","Margins of Error",0.23
"Colchester","0901115910","2017","Mental Health","Number","DMHAS Admissions",90
"Colchester","0901115910","2017","Mental Health","Percent","DMHAS Admissions",31.03
"Colchester","0901115910","2017","Mental Health","Rate (per 10,000)","DMHAS Admissions",56.2
"Colchester","0901115910","2017","Mental Health","Rate (per 10,000)","Margins of Error",0.07
"Colchester","0901115910","2017","Mental Health and Substance Abuse","Number","DMHAS Admissions",20
"Colchester","0901115910","2017","Mental Health and Substance Abuse","Percent","DMHAS Admissions",6.9
"Colchester","0901115910","2017","Mental Health and Substance Abuse","Rate (per 10,000)","DMHAS Admissions",12.49
"Colchester","0901115910","2017","Mental Health and Substance Abuse","Rate (per 10,000)","Margins of Error",0.02
"Colchester","0901115910","2017","Substance Abuse","Number","DMHAS Admissions",180
"Colchester","0901115910","2017","Substance Abuse","Percent","DMHAS Admissions",62.07
"Colchester","0901115910","2017","Substance Abuse","Rate (per 10,000)","DMHAS Admissions",112.39
"Colchester","0901115910","2017","Substance Abuse","Rate (per 10,000)","Margins of Error",0.15
"Colchester","0901115910","2017","Total","Number","DMHAS Admissions",290
"Colchester","0901115910","2017","Total","Rate (per 10,000)","DMHAS Admissions",181.08
"Colchester","0901115910","2017","Total","Rate (per 10,000)","Margins of Error",0.24
"Colchester","0901115910","2018","Mental Health","Number","DMHAS Admissions",84
"Colchester","0901115910","2018","Mental Health","Percent","DMHAS Admissions",29.68
